,Luminor 50-56,LHV Julge
Annualized Return,0.10785583457791259,0.13045738177131883
Annualized Volatility,0.09122578716067672,0.07300224228192517
Sharpe Ratio,0.8454055382821415,1.3131236038215044
Sortino Ratio,0.9211842835615414,1.4670021976583831
Calmar Ratio,0.7404449786405788,2.453447356410246
Max Drawdown,-0.1456635370475882,-0.053173091906971726
Beta vs Benchmark,0.7019797947374847,1.0
Tracking Error,0.07894088091011327,0.0
Information Ratio,-0.23736980834866278,
