Date,Luminor 50-56,LHV Julge
2024-01-05,-0.007764122734550405,-0.0025457575788371267
2024-01-12,0.005739716035101372,0.0008354687030367458
2024-01-19,-0.0016117216117216282,-0.012017652358483288
2024-01-26,0.015475491634869387,0.004925296239052024
2024-02-02,0.004285022653534698,0.00025633664178492666
2024-02-09,0.0071592004720035796,-0.004976781851916412
2024-02-16,0.0051579902412539624,0.006304890926417173
2024-02-23,0.005259454580345269,0.0007678171980816106
2024-03-01,0.000685808016176459,0.004235099151445709
2024-03-08,0.00529193985982368,0.0096721453419375
2024-03-15,-0.00030923850019326515,0.0077886963013782395
2024-03-22,0.012042941205419044,0.00463009310241258
2024-03-29,0.0032440918626783777,0.009202560972571883
2024-04-05,-0.009513851863648726,0.011147754650657316
2024-04-12,0.007836585178298217,0.005531956447439201
2024-04-19,-0.01792353365518018,-0.003530102989662054
2024-04-26,0.003630353712283929,0.0037131607671914146
2024-05-03,0.0056439921744149135,-0.005238423520958602
2024-05-10,0.01034989503149042,0.011430021620408182
2024-05-17,0.006621461569895848,0.012183882532896373
2024-05-24,-0.0026284102246533214,-0.006688405175290568
2024-05-31,-0.006919484246617813,0.0028987872127008707
2024-06-07,0.011281695032997696,-0.008963137720309988
2024-06-14,0.009706403616030368,-0.0054564593855929155
2024-06-21,0.005231755189234466,0.004199763065390272
2024-06-28,0.0007309347843742486,0.0004448118977511406
2024-07-05,0.0027728182654331857,0.008930944660039186
2024-07-12,0.006831946261650623,0.010202664188648791
2024-07-19,-0.008975999249767108,-0.007079218014310218
2024-07-26,-0.008117771904803783,-0.0037678003495600354
2024-08-02,0.003032450628978056,-0.010794901661897227
2024-08-09,-0.013730459063393874,-0.0005572650400988977
2024-08-16,0.018578218640214805,0.01317333333333326
2024-08-23,0.0012781756578548187,0.0056228973952825445
2024-08-30,0.004626627762468027,-0.0010516698232625465
2024-09-06,-0.012141911107226622,-0.02108412212213162
2024-09-13,0.013482151971960565,0.014973600330908221
2024-09-20,0.006124257970936631,0.005935600176437905
2024-09-27,0.007335077555596925,0.011357895238549132
2024-10-04,0.0021202303100174014,0.004076477546384849
2024-10-11,0.00811255760444829,9.387115245562683e-06
2024-10-18,0.00929338772512045,0.005125316812165659
2024-10-25,-0.003541467662176445,-0.0029184878030558137
2024-11-01,-0.012970667640499256,-0.005549649458850614
2024-11-08,0.023989640386635536,0.0020014881653183103
2024-11-15,0.00367770408031598,-0.007327264096405939
2024-11-22,0.008324869180627248,0.01490000378773515
2024-11-29,0.002709543330379427,-0.007706841454596325
2024-12-06,0.010446470580754985,-0.002186146880861939
2024-12-13,0.001529061609227167,-0.0037693532732121504
2024-12-20,-0.014312281671734817,-0.01888969816210906
2024-12-27,0.004857029945310787,0.0034081487051926818
2025-01-03,0.0006470110626204395,0.014162795278427565
2025-01-10,-0.001565768621236141,0.000530556752992517
2025-01-17,0.0069966921264992266,0.019634394041976977
2025-01-24,0.009104378802685886,0.004541275457610183
2025-01-31,0.0017182237939630252,-0.0002819687892907652
2025-02-07,0.0056073950250743465,0.01143913998381696
2025-02-14,0.0015196342953547326,0.004457163232746142
2025-02-21,-0.0015978398196545562,-0.0009602956436256527
2025-02-28,-0.020445381800136553,-0.007256973391097543
2025-03-07,-0.04218118722849151,-0.001413362701908838
2025-03-14,-0.023106979696270513,0.005643071154164403
2025-03-21,0.016750362078533865,0.002312191555474241
2025-03-28,-0.00029287839555891537,-0.004011926362915141
2025-04-04,-0.06023077588904646,-0.04727051348951328
2025-04-11,-0.02263661676455786,0.010286395149395222
2025-04-18,0.0021602342911821726,0.014276203157694622
2025-04-25,0.028420352125920534,0.009311615607505486
2025-05-02,0.017394056620362086,0.012867681215972482
2025-05-09,0.014227642276422703,0.01080545592970017
2025-05-16,0.03774896732239985,0.004455656687568865
2025-05-23,-0.015468589895168305,0.0007001662330152758
2025-05-30,0.006858408555664441,0.0017785321241723384
2025-06-06,0.0015372688298866954,0.01004843978821679
2025-06-13,-0.0004035752800216619,0.002475965291873994
2025-06-20,-0.0037726358148894024,-0.004005162209069435
2025-06-27,0.007852881382957477,0.00015191457039454015
2025-07-04,0.009077125906394201,0.005597648362252183
2025-07-11,0.005454771128255764,0.008311972171996862
2025-07-18,0.006919538437548667,-0.006630890698248182
2025-07-25,0.0018712454106093457,0.010720162510034825
2025-08-01,0.007232702377195421,-0.015205371248025346
2025-08-08,-0.0017903958053584468,0.014308312724194083
2025-08-15,0.011190826980975066,0.0013443104039079223
2025-08-22,-0.002464255623760736,0.010125827001035592
2025-08-29,0.004451698122793113,-0.003322619874913113
2025-09-05,0.001226536173333681,0.005508225296873226
2025-09-12,0.010235976838024019,0.01035802356775406
